FERMAT - primes
bits,average time,expected,result
40,0.0013872385025024414,true,true
80,0.0024689435958862305,true,true
128,0.0031238794326782227,true,true
168,0.005093932151794434,true,true
224,0.009338617324829102,true,true
256,0.009903907775878906,true,true
512,0.053679585456848145,true,true
1024,0.27468693256378174,true,true
FERMAT - not primes
bits,average time,expected,result
40,1.4185905456542969e-05,false,false
80,2.1219253540039062e-05,false,false
128,3.7789344787597656e-05,false,false
168,9.97781753540039e-05,false,false
224,0.0002269744873046875,false,false
256,0.0003248453140258789,false,false
512,0.0009515285491943359,false,false
1024,0.0037037134170532227,false,false
