MILLER-RABIN - primes
bits,average time,expected,result
40,0.0005141496658325195,true,true
80,0.0012421607971191406,true,true
128,0.00286865234375,true,true
168,0.005013465881347656,true,true
224,0.009240508079528809,true,true
256,0.009540677070617676,true,true
512,0.053392767906188965,true,true
1024,0.27380287647247314,true,true
MILLER-RABIN - not primes
bits,average time,expected,result
40,1.2755393981933594e-05,false,false
80,2.014636993408203e-05,false,false
128,3.5643577575683594e-05,false,false
168,8.594989776611328e-05,false,false
224,0.0001804828643798828,false,false
256,0.00027751922607421875,false,false
512,0.0008063316345214844,false,false
1024,0.0035371780395507812,false,false
